state,year,ID,con,pro,score,fips,cces.ideol,cces.smooth,abbr,gsp,demUnif,repUnif,ID,squireProfess,termLimits,fb9000,fb0010,fb1015,fb9015,fbPct2015
Alabama,2005,1,0,0,0,1,8.174954507,-0.589609267,AL,37.578,0,0,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2006,1,0,0,0,1,-29.78029996,-17.88778644,AL,37.735,0,0,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2007,1,1.333333333,1,-0.15415068,1,-36.4798319,-28.98019475,AL,37.522,0,0,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2008,1,19.14285714,4.571428571,-1.285198244,1,-31.98853995,-34.24928098,AL,36.976,0,0,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2009,1,6,2,-0.84729786,1,-28.63998826,-31.81943054,AL,35.376,0,0,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2010,1,9,5,-0.510825624,1,-32.64087016,-33.59981364,AL,35.913,0,1,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2011,1,32.66666667,0,-3.516508228,1,-41.18688163,-34.86714985,AL,36.201,0,1,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2012,1,12,9.666666667,-0.197825743,1,-31.07452886,-36.44604496,AL,36.425,0,1,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2013,1,3.333333333,5,0.325422401,1,-33.83101894,-35.40707863,AL,36.66,0,1,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2014,1,0,1,0.693147181,1,-42.24162481,-33.33951756,AL,36.455,0,1,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2015,1,2,1,-0.405465108,1,-21.00033759,-30.94966944,AL,36.911,0,1,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alabama,2016,1,0,1,0.693147181,1,-31.38738132,-27.85351201,AL,37.402,0,1,1,0.078000002,0,109.22,92.08,0.82,305.16,3.5
Alaska,2005,2,0,2,1.098612289,2,30.27350632,18.73238004,AK,61.125,0,1,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2006,2,0,0,0,2,-29.57462965,-6.488650424,AK,64.349,0,1,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2007,2,0,0,0,2,-16.6037182,-23.17527619,AK,67.228,0,1,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2008,2,2.714285714,2.714285714,0,2,-29.17216163,-31.00540856,AK,67.527,0,0,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2009,2,0,0,0,2,-36.71240965,-29.56691155,AK,72.204,0,0,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2010,2,2,0,-1.098612289,2,-20.99363746,-29.91987317,AK,69.564,0,0,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2011,2,0,0,0,2,-27.71067776,-21.72522588,AK,70.573,0,0,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2012,2,3,0,-1.386294361,2,-17.14398223,-11.28553661,AK,73.478,0,0,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2013,2,0,1,0.693147181,2,6.176551745,-10.65925071,AK,69.7,0,1,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2014,2,8.333333334,0,-2.233592222,2,-14.72937979,-12.64153302,AK,67.188,0,1,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2015,2,0,0,0,2,-32.55902794,-17.54206495,AK,67.302,0,0,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Alaska,2016,2,0,2,1.098612289,2,-17.95326279,-25.81822291,AK,63.317,0,0,2,0.216999993,0,61.8,32.65,18.73,154.84,7.9
Arizona,2005,4,5.5,2.5,-0.619039208,4,2.11643587,-2.02364551,AZ,43.018,0,0,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2006,4,6.666666667,1,-1.343734747,4,-15.60903581,-8.090345683,AZ,44.086,0,0,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2007,4,26.66666667,7.666666667,-1.16074407,4,-13.43943136,-12.7729706,AZ,44.168,0,0,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2008,4,5.857142858,8.285714286,0.303186259,4,-11.09418494,-15.96763835,AZ,41.8,0,1,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2009,4,5.25,17.5,1.085189268,4,-18.2080994,-17.51176542,AZ,38.232,0,1,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2010,4,28,24.66666667,-0.122102697,4,-21.15453955,-20.80607685,AZ,37.935,0,1,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2011,4,35,3,-2.197224577,4,-24.18330056,-20.18282794,AZ,38.257,0,1,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2012,4,18.66666667,4,-1.369487243,4,-12.29841185,-17.83395971,AZ,38.559,0,1,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2013,4,2.666666667,0,-1.299282984,4,-17.00827395,-15.30013106,AZ,38.303,0,1,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2014,4,25.33333333,2.333333333,-2.06686276,4,-15.59921595,-14.09856448,AZ,38.45,0,1,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2015,4,10,0,-2.397895273,4,-9.74386114,-14.12327406,AZ,38.647,0,1,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arizona,2016,4,0,4,1.609437912,4,-17.30720038,-15.26343578,AZ,38.985,0,1,3,0.270999998,1,137.44,30.55,6.74,230.88,13.4
Arkansas,2005,5,8,0,-2.197224577,5,-12.15374537,-11.89090793,AR,35.649,0,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2006,5,NA,NA,NA,5,-17.39299464,-17.83912012,AR,35.803,1,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2007,5,7.333333333,1,-1.427116356,5,-26.39657255,-22.71608234,AR,35.205,1,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2008,5,NA,NA,NA,5,-13.35732518,-26.28438567,AR,34.957,1,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2009,5,13,9.75,-0.264151575,5,-40.93071216,-28.38536823,AR,33.837,1,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2010,5,0,2.333333333,1.203972804,5,-26.5688645,-28.0506361,AR,34.671,1,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2011,5,8.333333333,4,-0.624154309,5,-21.19299608,-26.3636218,AR,35.146,1,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2012,5,0,3.333333333,1.466337069,5,-28.10888468,-28.4582296,AR,34.965,1,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2013,5,13,17.33333333,0.269663567,5,-36.69821132,-32.27445699,AR,35.865,0,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2014,5,0,2,1.098612289,5,-38.60108678,-32.62794352,AR,36.274,0,0,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2015,5,2,8.999999999,1.203972804,5,-26.59737796,-30.84628668,AR,36.338,0,1,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
Arkansas,2016,5,0,6,1.945910149,5,-26.88372794,-26.44835591,AR,36.524,0,1,4,0.109999999,1,191.05,78.68,8.49,464.17,4.8
California,2005,6,0,0,0,6,17.97213714,13.36477124,CA,53.32,0,0,5,0.58099997,1,37.58,14.51,5.3,65.89,27.3
California,2006,6,0,8.333333334,2.233592222,6,-2.790633547,5.151112403,CA,54.842,0,0,5,0.58099997,1,37.58,14.51,5.3,65.89,27.3
